학교명,학교급_구분,시도교육청,교육지원청,지역,위도,경도,주소내역,폐교여부,폐교연도,시도,행정구,학교급,전체학생수,편성학급수,교원1인당학생수,공간유휴화지수,학교코드_KEDI,전체교원수,총교실수,동일생활권_대체학교수
금곡고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6332357825,127.2136263387,경기도 남양주시 금곡동,0,,경기,남양주시,고등학교,83,4,10.0,36.89,K090000508,8,8,1
남양주고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6525168476,127.3345896521,경기도 남양주시 화도읍 월산리,0,,경기,남양주시,고등학교,165,9,15.0,15.44,K090000519,11,16,0
덕소고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.5793332856,127.2165787024,경기도 남양주시 와부읍 도곡리,0,,경기,남양주시,고등학교,218,15,6.9,7.09,K090000529,32,21,2
동화고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6076817061,127.1630019369,경기도 남양주시 도농동 동화중고교,0,,경기,남양주시,고등학교,58,3,16.3,29.01,K090000545,4,9,5
심석고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6570757497,127.3067679359,경기도 남양주시 화도읍 마석우리,0,,경기,남양주시,고등학교,161,10,15.8,17.82,K090000669,10,14,1
진건고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6746082799,127.1973947282,주소미상,0,,경기,남양주시,고등학교,328,16,15.2,15.93,K090000806,22,23,1
청학고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.7117248934,127.1196254946,주소미상,0,,경기,남양주시,고등학교,421,26,9.7,14.0,K090000818,43,32,0
퇴계원고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6601818355,127.1452645902,주소미상,0,,경기,남양주시,고등학교,200,10,15.9,2.24,K090000827,13,15,1
도농고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6115143292,127.1509460426,주소미상,0,,경기,남양주시,고등학교,341,19,8.2,1.75,K090004914,42,24,7
평내고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6420521845,127.2339058757,주소미상,0,,경기,남양주시,고등학교,20,1,7.5,45.22,K090004915,3,7,3
호평고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6571747992,127.2528563077,주소미상,0,,경기,남양주시,고등학교,329,18,6.5,12.05,K090005291,51,23,2
와부고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.5947891489,127.2232091024,주소미상,0,,경기,남양주시,고등학교,154,11,17.3,11.19,K090005601,9,14,1
