학교명,학교급_구분,시도교육청,교육지원청,지역,위도,경도,주소내역,폐교여부,폐교연도,시도,행정구,학교급,전체학생수,편성학급수,교원1인당학생수,공간유휴화지수,학교코드_KEDI,전체교원수,총교실수,동일생활권_대체학교수
금호중학교,중학교,서울특별시교육청,서울특별시중부교육지원청,서울특별시 중구,37.5580252223,127.0204896106,서울특별시 중구 신당6동,1,,서울,중구,중학교,0,0,0.0,0.0,K010002337,0,0,0
장충고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 중구,37.5526172537,127.0060794429,주소미상,1,,서울,중구,고등학교,0,0,0.0,0.0,K010000525,0,0,0
한양과학기술고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 중구,37.5652920288,127.0119888995,서울특별시 중구 신당동,1,,서울,중구,고등학교,0,0,0.0,0.0,K010000601,0,0,0
서울의료보건고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 중구,37.5570132836,126.9670432287,서울 중구 만리동1가,1,,서울,중구,고등학교,0,0,0.0,0.0,K010000604,0,0,0
성동글로벌경영고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 중구,37.5658902051,127.0127994297,서울특별시 중구 신당동,1,,서울,중구,고등학교,0,0,0.0,0.0,K010000617,0,0,0
자유고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 고창군,35.4401175075,126.6974673742,전라북도 고창군 고창읍 교촌리,1,,전북,고창군,고등학교,0,0,0.0,0.0,K130000304,0,0,0
전북인공지능고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 고창군,35.4142741676,126.5580075529,전라북도 고창군 무장면 무장리,1,,전북,고창군,고등학교,0,0,0.0,0.0,K130000369,0,0,0
계화초등학교,초등학교,전북특별자치도교육청,전북특별자치도부안교육지원청,전북특별자치도 부안군,35.7858561153,126.6378245409,전북특별자치도 부안군 계화면 계화리,1,2024.0,전북,부안군,초등학교,0,0,0.0,0.0,K130000935,0,0,0
백련초등학교,초등학교,전북특별자치도교육청,전북특별자치도부안교육지원청,전북특별자치도 부안군,35.7079816154,126.6008714445,전북특별자치도 부안군 하서면 백련리,1,2024.0,전북,부안군,초등학교,0,0,0.0,0.0,K130000946,0,0,0
백룡초등학교,초등학교,전북특별자치도교육청,전북특별자치도부안교육지원청,전북특별자치도 부안군,35.7186072823,126.8109787741,전라북도 부안군 백산면 용계리,1,,전북,부안군,초등학교,0,0,0.0,0.0,K130000947,0,0,0
고창북중학교,중학교,전북특별자치도교육청,전북특별자치도고창교육지원청,전북특별자치도 고창군,35.5090885132,126.659327349,전라북도 고창군 부안면 상등리,1,,전북,고창군,중학교,0,0,0.0,0.0,K130000467,0,0,0
선동초등학교,초등학교,전북특별자치도교육청,전북특별자치도고창교육지원청,전북특별자치도 고창군,35.3679827806,126.5560989235,전북특별자치도 고창군 공음면 선동리,1,2025.0,전북,고창군,초등학교,0,0,0.0,0.0,K130000498,0,0,0
복흥중학교,중학교,전북특별자치도교육청,전북특별자치도순창교육지원청,전북특별자치도 순창군,35.4331082367,126.9259332329,전라북도 순창군 복흥면 정산리,1,,전북,순창군,중학교,0,0,0.0,0.0,K130001004,0,0,0
새솔중학교,중학교,전북특별자치도교육청,전북특별자치도순창교육지원청,전북특별자치도 순창군,35.3777767841,127.1339325243,전북 순창군 순창읍 순화리,1,,전북,순창군,중학교,0,0,0.0,0.0,K130001006,0,0,0
순창중학교,중학교,전북특별자치도교육청,전북특별자치도순창교육지원청,전북특별자치도 순창군,35.376861887,127.1515258151,전라북도 순창군 순창읍,1,,전북,순창군,중학교,0,0,0.0,0.0,K130001007,0,0,0
한국치즈과학고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 임실군,35.5330532477,127.1646965443,전북특별자치도 임실군 강진면 갈담리,1,,전북,임실군,고등학교,0,0,0.0,0.0,K130000400,0,0,0
인계초등학교,초등학교,전북특별자치도교육청,전북특별자치도순창교육지원청,전북특별자치도 순창군,35.4142932726,127.1589858288,전라북도 순창군 인계면 가성리,1,,전북,순창군,초등학교,0,0,0.0,0.0,K130001025,0,0,0
운암중학교,중학교,전북특별자치도교육청,전북특별자치도임실교육지원청,전북특별자치도 임실군,35.6637502478,127.1575748246,전라북도 임실군 운암면 쌍암리,1,2025.0,전북,임실군,중학교,0,0,0.0,0.0,K130001304,0,0,0
신덕초등학교,초등학교,전북특별자치도교육청,전북특별자치도임실교육지원청,전북특별자치도 임실군,35.6825863243,127.1762898259,전북특별자치도 임실군 신덕면 수천리,1,2025.0,전북,임실군,초등학교,0,0,0.0,0.0,K130001319,0,0,0
부당초등학교,초등학교,전북특별자치도교육청,전북특별자치도무주교육지원청,전북특별자치도 무주군,36.0154548575,127.5801485174,전북특별자치도 무주군 부남면 가당리,1,2026.0,전북,무주군,초등학교,0,0,0.0,0.0,K130000901,0,0,0
무주중학교,중학교,전북특별자치도교육청,전북특별자치도무주교육지원청,전북특별자치도 무주군,36.0106854696,127.6642592397,전북특별자치도 무주군 무주읍 읍내리,1,,전북,무주군,중학교,0,0,0.0,0.0,K130000884,0,0,0
무풍중학교,중학교,전북특별자치도교육청,전북특별자치도무주교육지원청,전북특별자치도 무주군,35.9677233102,127.8467979936,전라북도 무주군 무풍면 현내리,1,2026.0,전북,무주군,중학교,0,0,0.0,0.0,K130000886,0,0,0
무풍고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 무주군,35.9667705419,127.846441939,전라북도 무주군 무풍면 현내리,1,2026.0,전북,무주군,고등학교,0,0,0.0,0.0,K130000343,0,0,0
한국기술부사관고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 진안군,35.8007647393,127.417231137,전라북도 진안군 진안읍  군상리,1,,전북,진안군,고등학교,0,0,0.0,0.0,K130000446,0,0,0
삼우중학교,중학교,전북특별자치도교육청,전북특별자치도완주교육지원청,전북특별자치도 완주군,35.8245639801,127.0241470609,전북특별자치도 완주군 이서면 상개리,1,,전북,완주군,중학교,0,0,0.0,0.0,K130001049,0,0,0
수소에너지고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 완주군,35.9072009161,127.0684175704,전라북도 완주군 삼례읍 후정리,1,,전북,완주군,고등학교,0,0,0.0,0.0,K130000353,0,0,0
전주예술고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 완주군,35.7208693002,127.109137488,전라북도 완주군 구이면 항가리,1,,전북,완주군,고등학교,0,0,0.0,0.0,K130000430,0,0,0
삼례여자중학교,중학교,전북특별자치도교육청,전북특별자치도완주교육지원청,전북특별자치도 완주군,35.9110095202,127.0788169167,전북특별자치도 완주군 삼례읍 삼례리,1,2020.0,전북,완주군,중학교,0,0,0.0,0.0,K130001047,0,0,0
고산동초등학교,초등학교,전북특별자치도교육청,전북특별자치도완주교육지원청,전북특별자치도 완주군,35.9884284353,127.2568904738,전북특별자치도 완주군 고산면 소향리,1,2010.0,전북,완주군,초등학교,0,0,0.0,0.0,K130001060,0,0,0
비룡초등학교,초등학교,전북특별자치도교육청,전북특별자치도김제교육지원청,전북특별자치도 김제시,35.8440349369,126.9894931297,전라북도 김제시 용지면 신정리,1,2026.0,전북,김제시,초등학교,0,0,0.0,0.0,K130000721,0,0,0
심창초등학교,초등학교,전북특별자치도교육청,전북특별자치도김제교육지원청,전북특별자치도 김제시,35.8579047278,126.721119019,전라북도 김제시 진봉면 심포리,1,2025.0,전북,김제시,초등학교,0,0,0.0,0.0,K130000726,0,0,0
화율초등학교,초등학교,전북특별자치도교육청,전북특별자치도김제교육지원청,전북특별자치도 김제시,35.6879606227,127.0423078204,전북특별자치도 김제시 금산면 금성리,1,2024.0,전북,김제시,초등학교,0,0,0.0,0.0,K130000731,0,0,0
금남초등학교,초등학교,전북특별자치도교육청,전북특별자치도김제교육지원청,전북특별자치도 김제시,35.7435406626,126.9949986021,전북특별자치도 김제시 금산면 용산리,1,2024.0,전북,김제시,초등학교,0,0,0.0,0.0,K130000703,0,0,0
서울교동초등학교,초등학교,서울특별시교육청,서울특별시중부교육지원청,서울특별시 종로구,37.5750056742,126.9881510471,서울특별시 종로구 경운동,1,,서울,종로구,초등학교,0,0,0.0,0.0,K010002370,0,0,0
수지중학교,중학교,전북특별자치도교육청,전북특별자치도남원교육지원청,전북특별자치도 남원시,35.3342198639,127.3632598588,전북특별자치도 남원시 수지면 산정리,1,2024.0,전북,남원시,중학교,0,0,0.0,0.0,K130000798,0,0,0
남원서진고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 남원시,35.4257262014,127.4066021857,전라북도 남원시 월락동,1,,전북,남원시,고등학교,0,0,0.0,0.0,K130000328,0,0,0
금지동초등학교,초등학교,전북특별자치도교육청,전북특별자치도남원교육지원청,전북특별자치도 남원시,35.3565631798,127.2989794169,전북특별자치도 남원시 금지면 옹정리,1,2026.0,전북,남원시,초등학교,0,0,0.0,0.0,K130000806,0,0,0
글로벌학산고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 정읍시,35.5613190689,126.8752046231,전라북도 정읍시 상동,1,,전북,정읍시,고등학교,0,0,0.0,0.0,K130000454,0,0,0
이평중학교,중학교,전북특별자치도교육청,전북특별자치도정읍교육지원청,전북특별자치도 정읍시,35.6627106897,126.8114330926,전북특별자치도 정읍시 이평면,1,,전북,정읍시,중학교,0,0,0.0,0.0,K130001590,0,0,0
샘고을중학교,중학교,전북특별자치도교육청,전북특별자치도정읍교육지원청,전북특별자치도 정읍시,35.5680131615,126.8566951173,전라북도 정읍시 장명동,1,,전북,정읍시,중학교,0,0,0.0,0.0,K130001595,0,0,0
용곽초등학교,초등학교,전북특별자치도교육청,전북특별자치도정읍교육지원청,전북특별자치도 정읍시,35.7294004909,126.888596003,전북특별자치도 정읍시 감곡면 용곽리,1,2010.0,전북,정읍시,초등학교,0,0,0.0,0.0,K130001633,0,0,0
회룡초등학교,초등학교,전북특별자치도교육청,전북특별자치도정읍교육지원청,전북특별자치도 정읍시,35.6577751,126.9082046,전북특별자치도 정읍시 정우면,1,2012.0,전북,정읍시,초등학교,0,0,0.0,0.0,K130001650,0,0,0
도학초등학교,초등학교,전북특별자치도교육청,전북특별자치도정읍교육지원청,전북특별자치도 정읍시,35.6287514197,126.8192492909,전라북도 정읍시 덕천면,1,2026.0,전북,정읍시,초등학교,0,0,0.0,0.0,K130001613,0,0,0
함열여자고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 익산시,36.083569861,126.9686238686,전라북도 익산시 함열읍 남당리,1,,전북,익산시,고등학교,0,0,0.0,0.0,K130000461,0,0,0
관청초등학교,초등학교,전북특별자치도교육청,전북특별자치도정읍교육지원청,전북특별자치도 정읍시,35.6158363922,126.7447699378,전북특별자치도 정읍시 고부면 관청리,1,2019.0,전북,정읍시,초등학교,0,0,0.0,0.0,K130001606,0,0,0
원광여자중학교,중학교,전북특별자치도교육청,전북특별자치도익산교육지원청,전북특별자치도 익산시,35.9551966298,126.9436588273,전북 익산시 모현동1가,1,,전북,익산시,중학교,0,0,0.0,0.0,K130001135,0,0,0
이리중학교,중학교,전북특별자치도교육청,전북특별자치도익산교육지원청,전북특별자치도 익산시,35.9348990605,126.9403442502,전라북도 익산시 평화동,1,,전북,익산시,중학교,0,0,0.0,0.0,K130001142,0,0,0
금성초등학교,초등학교,전북특별자치도교육청,전북특별자치도익산교육지원청,전북특별자치도 익산시,36.1221231131,126.9201639361,전북특별자치도 익산시 성당면 두동리,1,2018.0,전북,익산시,초등학교,0,0,0.0,0.0,K130001152,0,0,0
성남초등학교,초등학교,전북특별자치도교육청,전북특별자치도익산교육지원청,전북특별자치도 익산시,36.0994902386,127.0491725154,전북특별자치도 익산시 망성면 내촌리,1,2011.0,전북,익산시,초등학교,0,0,0.0,0.0,K130001159,0,0,0
서울보광초등학교,초등학교,서울특별시교육청,서울특별시중부교육지원청,서울특별시 용산구,37.5326512059,126.9964610151,서울특별시 용산구 이태원동,1,,서울,용산구,초등학교,0,0,0.0,0.0,K010002379,0,0,0
군산고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 군산시,35.9753280117,126.7204892365,전라북도 군산시 동흥남동,1,,전북,군산시,고등학교,0,0,0.0,0.0,K130000305,0,0,0
군산중앙여자고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 군산시,35.967734104,126.712059312,전북특별자치도 군산시 수송동,1,,전북,군산시,고등학교,0,0,0.0,0.0,K130000315,0,0,0
선유도중학교,중학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,35.8121020103,126.413226216,전라북도 군산시 옥도면 선유도리,1,2026.0,전북,군산시,중학교,0,0,0.0,0.0,K130000563,0,0,0
신시도초등학교야미도분교장,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,35.8418595228,126.4918075725,전북특별자치도 군산시 옥도면 야미도리,1,2024.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000617,0,0,0
어청도초등학교,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,36.1207432119,125.979150939,전북특별자치도 군산시 옥도면 어청도리,1,2024.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000619,0,0,0
해성초등학교내초분교장,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,35.9511038843,126.5918789346,전북특별자치도 군산시 내초동 ,1,2017.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000628,0,0,0
대야초등학교광산분교장,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,35.9362351821,126.8668650218,전북특별자치도 군산시 대야면 접산리,1,2023.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000602,0,0,0
마룡초등학교,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,36.002779324,126.8773476808,전라북도 군산시 서수면 마룡리,1,2025.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000603,0,0,0
무녀도초등학교,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,35.8047081797,126.4238485008,전라북도 군산시 옥도면 무녀도리,1,,전북,군산시,초등학교,0,0,0.0,0.0,K130000604,0,0,0
비안도초등학교,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,35.7353575307,126.4565707697,전북특별자치도 군산시 옥도면 비안도리,1,2021.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000608,0,0,0
선연초등학교,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,35.9027150283,126.6363136412,전북특별자치도 군산시 옥서면 선연리,1,2012.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000611,0,0,0
선유도초등학교,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,35.8116372829,126.4127372647,전북특별자치도 군산시 옥도면 선유도리,1,2024.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000612,0,0,0
신시도초등학교,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,35.8152548582,126.4504699916,주소미상,1,2025.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000616,0,0,0
금암초등학교,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,35.8375912371,127.1366379956,전북특별자치도 군산시 서수면 금암리,1,2025.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000596,0,0,0
개야도초등학교,초등학교,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,36.0428257067,126.5487198765,전라북도 군산시 옥도면 개야도리 개야도,1,2025.0,전북,군산시,초등학교,0,0,0.0,0.0,K130000570,0,0,0
오산중학교,중학교,서울특별시교육청,서울특별시중부교육지원청,서울특별시 용산구,37.5239908288,126.9995429717,서울특별시 용산구 보광동,1,,서울,용산구,중학교,0,0,0.0,0.0,K010002354,0,0,0
용산중학교,중학교,서울특별시교육청,서울특별시중부교육지원청,서울특별시 용산구,37.5460241771,126.9810073748,서울 용산구 용산동2가,1,,서울,용산구,중학교,0,0,0.0,0.0,K010002356,0,0,0
오산고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 용산구,37.5235114957,126.9996063246,서울특별시 용산구 보광동,1,,서울,용산구,고등학교,0,0,0.0,0.0,K010000509,0,0,0
상산고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 전주시 완산구,35.8049701006,127.1188601833,전라북도 전주시 완산구 효자동1가,1,,전북,전주시 완산구,고등학교,0,0,0.0,0.0,K130000355,0,0,0
전주여자상업고등학교,고등학교,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 전주시 완산구,35.8102592446,127.1254270928,주소미상,1,,전북,전주시 완산구,고등학교,0,0,0.0,0.0,K130000428,0,0,0
전주효문중학교,중학교,전북특별자치도교육청,전북특별자치도전주교육지원청,전북특별자치도 전주시 완산구,35.7977749454,127.1201415956,전북특별자치도 전주시 완산구 삼천동1가,1,,전북,전주시 완산구,중학교,0,0,0.0,0.0,K130001418,0,0,0
전주평화중학교,중학교,전북특별자치도교육청,전북특별자치도전주교육지원청,전북특별자치도 전주시 완산구,35.7833419794,127.1339015761,전라북도 전주시 완산구 평화동2가,1,,전북,전주시 완산구,중학교,0,0,0.0,0.0,K130002464,0,0,0
서전주중학교,중학교,전북특별자치도교육청,전북특별자치도전주교육지원청,전북특별자치도 전주시 완산구,35.8107224645,127.1127168633,전라북도 전주시 완산구 효자동1가,1,,전북,전주시 완산구,중학교,0,0,0.0,0.0,K130001385,0,0,0
완산중학교,중학교,전북특별자치도교육청,전북특별자치도전주교육지원청,전북특별자치도 전주시 완산구,35.7918694675,127.1389158752,전북특별자치도 전주시 완산구 평화동1가,1,,전북,전주시 완산구,중학교,0,0,0.0,0.0,K130001386,0,0,0
양양여자고등학교,고등학교,강원특별자치도교육청,강원특별자치도교육청,강원특별자치도 양양군,38.0729113723,128.6134478428,강원특별자치도 양양군 양양읍 서문리,1,2019.0,강원,양양군,고등학교,0,0,0.0,0.0,K100000457,0,0,0
인구초등학교임호분교장,초등학교,강원특별자치도교육청,강원특별자치도속초양양교육지원청,강원특별자치도 양양군,37.9256668525,128.7768438625,강원특별자치도 양양군 현남면 인구리,1,2021.0,강원,양양군,초등학교,0,0,0.0,0.0,K100001031,0,0,0
상평초등학교현서분교장,초등학교,강원특별자치도교육청,강원특별자치도속초양양교육지원청,강원특별자치도 양양군,37.9878145729,128.5298746817,강원특별자치도 양양군 서면 서림리,1,2025.0,강원,양양군,초등학교,0,0,0.0,0.0,K100001044,0,0,0
양양중학교,중학교,강원특별자치도교육청,강원특별자치도속초양양교육지원청,강원특별자치도 양양군,38.0729113723,128.6134478428,강원특별자치도 양양군 양양읍 서문리,1,2019.0,강원,양양군,중학교,0,0,0.0,0.0,K100001000,0,0,0
광산초등학교흘리분교장,초등학교,강원특별자치도교육청,강원특별자치도고성교육지원청,강원특별자치도 고성군,38.2666253557,128.3741660242,강원도 고성군 간성읍 흘리,1,2024.0,강원,고성군,초등학교,0,0,0.0,0.0,K100000750,0,0,0
동광산업과학고등학교,고등학교,강원특별자치도교육청,강원특별자치도교육청,강원특별자치도 고성군,38.2948935788,128.542515209,강원도 고성군 토성면 백촌리,1,,강원,고성군,고등학교,0,0,0.0,0.0,K100000398,0,0,0
상평초등학교공수전분교장,초등학교,강원특별자치도교육청,강원특별자치도속초양양교육지원청,강원특별자치도 양양군,38.0417944378,128.5572371538,강원특별자치도 양양군 서면 공수전리,1,,강원,양양군,초등학교,0,0,0.0,0.0,K100001004,0,0,0
인제고등학교,고등학교,강원특별자치도교육청,강원특별자치도교육청,강원특별자치도 인제군,38.0740761699,128.1779357497,강원특별자치도 인제군 인제읍 합강리,1,,강원,인제군,고등학교,0,0,0.0,0.0,K100000480,0,0,0
거진초등학교,초등학교,강원특별자치도교육청,강원특별자치도고성교육지원청,강원특별자치도 고성군,38.4384802275,128.4447668322,강원도 고성군 거진읍 자산리,1,,강원,고성군,초등학교,0,0,0.0,0.0,K100000721,0,0,0
대진초등학교명파분교장,초등학교,강원특별자치도교육청,강원특별자치도고성교육지원청,강원특별자치도 고성군,38.5417944442,128.401417453,강원도 고성군 현내면 명파리,1,2025.0,강원,고성군,초등학교,0,0,0.0,0.0,K100000736,0,0,0
거진초등학교송정분교장,초등학교,강원특별자치도교육청,강원특별자치도고성교육지원청,강원특별자치도 고성군,38.4424933276,128.4227550263,강원특별자치도 고성군 거진읍 송정리,1,2016.0,강원,고성군,초등학교,0,0,0.0,0.0,K100000737,0,0,0
인제남초등학교,초등학교,강원특별자치도교육청,강원특별자치도인제교육지원청,강원특별자치도 인제군,38.0644216554,128.1694422758,강원도 인제군 인제읍 남북리,1,,강원,인제군,초등학교,0,0,0.0,0.0,K100001528,0,0,0
인제초등학교,초등학교,강원특별자치도교육청,강원특별자치도인제교육지원청,강원특별자치도 인제군,38.075682384,128.1784789141,강원도 인제군 인제읍 합강리,1,,강원,인제군,초등학교,0,0,0.0,0.0,K100001534,0,0,0
인제초등학교가리산분교장,초등학교,강원특별자치도교육청,강원특별자치도인제교육지원청,강원특별자치도 인제군,38.0589203318,128.3245379936,강원특별자치도 인제군 인제읍 가리산리,1,2017.0,강원,인제군,초등학교,0,0,0.0,0.0,K100001535,0,0,0
강원외국어고등학교,고등학교,강원특별자치도교육청,강원특별자치도교육청,강원특별자치도 양구군,38.1200057546,127.9906741193,강원도 양구군 양구읍 하리,1,,강원,양구군,고등학교,0,0,0.0,0.0,K100003837,0,0,0
기린초등학교방동분교장,초등학교,강원특별자치도교육청,강원특별자치도인제교육지원청,강원특별자치도 인제군,37.9556236705,128.37380733,강원특별자치도 인제군 기린면 방동리,1,2022.0,강원,인제군,초등학교,0,0,0.0,0.0,K100001484,0,0,0
서화초등학교서성분교장,초등학교,강원특별자치도교육청,강원특별자치도인제교육지원청,강원특별자치도 인제군,38.259900999,128.2092578393,강원특별자치도 인제군 서화면 서화리,1,2023.0,강원,인제군,초등학교,0,0,0.0,0.0,K100001506,0,0,0
원통초등학교신덕분교장,초등학교,강원특별자치도교육청,강원특별자치도인제교육지원청,강원특별자치도 인제군,38.1482909913,128.1086613987,강원특별자치도 인제군 인제읍 가아리,1,2024.0,강원,인제군,초등학교,0,0,0.0,0.0,K100001510,0,0,0
부평초등학교신월분교장,초등학교,강원특별자치도교육청,강원특별자치도인제교육지원청,강원특별자치도 인제군,38.0282336104,128.0764278282,강원특별자치도 인제군 남면 신월리,1,2019.0,강원,인제군,초등학교,0,0,0.0,0.0,K100001511,0,0,0
오음초등학교,초등학교,강원특별자치도교육청,강원특별자치도화천교육지원청,강원특별자치도 화천군,38.0651848796,127.8713005934,강원특별자치도 화천군 간동면 오음리,1,2025.0,강원,화천군,초등학교,0,0,0.0,0.0,K100002363,0,0,0
용암초등학교,초등학교,강원특별자치도교육청,강원특별자치도화천교육지원청,강원특별자치도 화천군,38.0891392695,127.6993411887,강원도 화천군 하남면 용암리,1,,강원,화천군,초등학교,0,0,0.0,0.0,K100002366,0,0,0
화천초등학교,초등학교,강원특별자치도교육청,강원특별자치도화천교육지원청,강원특별자치도 화천군,38.105659296,127.7093677721,강원도 화천군 화천읍 아리,1,,강원,화천군,초등학교,0,0,0.0,0.0,K100002375,0,0,0
상승초등학교노동분교장,초등학교,강원특별자치도교육청,강원특별자치도화천교육지원청,강원특별자치도 화천군,38.1771009857,127.6718184426,강원특별자치도 화천군 상서면 노동리,1,2019.0,강원,화천군,초등학교,0,0,0.0,0.0,K100003389,0,0,0
화천초등학교논미분교장,초등학교,강원특별자치도교육청,강원특별자치도화천교육지원청,강원특별자치도 화천군,38.1092410791,127.6688476043,강원특별자치도 화천군 하남면 논미리,1,2024.0,강원,화천군,초등학교,0,0,0.0,0.0,K100003395,0,0,0
봉오초등학교,초등학교,강원특별자치도교육청,강원특별자치도화천교육지원청,강원특별자치도 화천군,38.189241721,127.5998813707,강원특별자치도 화천군 상서면 봉오리,1,2025.0,강원,화천군,초등학교,0,0,0.0,0.0,K100002351,0,0,0
함백여자고등학교,고등학교,강원특별자치도교육청,강원특별자치도교육청,강원특별자치도 정선군,37.2157802533,128.6747395599,강원특별자치도 정선군 신동읍 조동리,1,2014.0,강원,정선군,고등학교,0,0,0.0,0.0,K100000528,0,0,0
함백고등학교,고등학교,강원특별자치도교육청,강원특별자치도교육청,강원특별자치도 정선군,37.2157802533,128.6747395599,강원특별자치도 정선군 신동읍 조동리 185,1,,강원,정선군,고등학교,0,0,0.0,0.0,K100000529,0,0,0
김화초등학교,초등학교,강원특별자치도교육청,강원특별자치도철원교육지원청,강원특별자치도 철원군,38.2527927194,127.4140921295,강원특별자치도 철원군 김화읍 학사리,1,,강원,철원군,초등학교,0,0,0.0,0.0,K100001743,0,0,0
정선중학교,중학교,강원특별자치도교육청,강원특별자치도정선교육지원청,강원특별자치도 정선군,37.3780182326,128.661357591,강원도 정선군 정선읍 봉양리,1,,강원,정선군,중학교,0,0,0.0,0.0,K100001577,0,0,0
함백여자중학교,중학교,강원특별자치도교육청,강원특별자치도정선교육지원청,강원특별자치도 정선군,37.2157802533,128.6747395599,강원특별자치도 정선군 신동읍 조동리,1,2014.0,강원,정선군,중학교,0,0,0.0,0.0,K100001579,0,0,0
남선초등학교남창분교장,초등학교,강원특별자치도교육청,강원특별자치도정선교육지원청,강원특별자치도 정선군,37.3240839247,128.7132316164,강원 정선군 남면 낙동리,1,2025.0,강원,정선군,초등학교,0,0,0.0,0.0,K100001609,0,0,0
사음초등학교,초등학교,강원특별자치도교육청,강원특별자치도정선교육지원청,강원특별자치도 정선군,37.2285520687,128.8349664984,강원특별자치도 정선군 사북읍 사북1리,1,2013.0,강원,정선군,초등학교,0,0,0.0,0.0,K100001647,0,0,0
예미초등학교운치분교장,초등학교,강원특별자치도교육청,강원특별자치도정선교육지원청,강원특별자치도 정선군,37.2699775761,128.6074028482,강원특별자치도 정선군 신동읍 운치리,1,2026.0,강원,정선군,초등학교,0,0,0.0,0.0,K100001665,0,0,0
예미초등학교고성분교장,초등학교,강원특별자치도교육청,강원특별자치도정선교육지원청,강원특별자치도 정선군,37.2575521122,128.5975241929,강원특별자치도 정선군 신동읍 고성리,1,,강원,정선군,초등학교,0,0,0.0,0.0,K100000723,0,0,0
여량초등학교구절분교장,초등학교,강원특별자치도교육청,강원특별자치도정선교육지원청,강원특별자치도 정선군,37.514621889,128.7320963086,강원특별자치도 정선군 여량면 구절리,1,,강원,정선군,초등학교,0,0,0.0,0.0,K100001594,0,0,0
임계초등학교군대분교장,초등학교,강원특별자치도교육청,강원특별자치도정선교육지원청,강원특별자치도 정선군,37.5279234972,128.942090434,강원특별자치도 정선군 임계면 가목리,1,,강원,정선군,초등학교,0,0,0.0,0.0,K100001598,0,0,0
약수초등학교,초등학교,강원특별자치도교육청,강원특별자치도평창교육지원청,강원특별자치도 평창군,37.350885485,128.3700719004,강원특별자치도 평창군 평창읍 약수리,1,2016.0,강원,평창군,초등학교,0,0,0.0,0.0,K100002091,0,0,0
횡계초등학교,초등학교,강원특별자치도교육청,강원특별자치도평창교육지원청,강원특별자치도 평창군,37.6763355278,128.7110412283,강원 평창군 대관령면 횡계리,1,,강원,평창군,초등학교,0,0,0.0,0.0,K100002116,0,0,0
진부초등학교월정분교장,초등학교,강원특별자치도교육청,강원특별자치도평창교육지원청,강원특별자치도 평창군,37.7090094475,128.5993368666,강원특별자치도 평창군 진부면 간평리,1,2012.0,강원,평창군,초등학교,0,0,0.0,0.0,K100003077,0,0,0
